id;titulo;año;duracion;relevancia;clasificacion;advertencia;descripcion;elenco;generos;escenas;imagen_banner;imagen_thumb
circulo-de-fuego;Círculo de Fuego: La Revuelta;2018;1h44m;83;+12;violencia;Jake, hijo de Stacker Pentecost, se une a un viejo amigo piloto y a una joven operadora de Jaeger para intentar salvar a la humanidad de una nueva amenaza Kaiju.;John Boyega, Scott Eastwood, Charlie Day;Ciencia ficción, Películas de monstruos, Acción y aventura;Adrenalina pura;images/ModeloPages/filmes_pages/circulodefogo.jpeg;images/MoviesPage/img_filmes/circulo_de_fogo_a_revolta.jpg
crepusculo;Crepúsculo;2008;2h01m;67;+12;violencia;Después de mudarse a casa de su padre, Bella Swan comienza en una nueva escuela donde conoce a Edward, un misterioso chico que en realidad es un vampiro de 108 años.;Kristen Stewart, Robert Pattinson, Billy Burke;Drama, Romance, Basada en libros;Siniestros, Románticos, Suspenso en el aire;images/ModeloPages/filmes_pages/twilight.jpeg;images/MoviesPage/img_filmes/crepusculo.jpg
django-sin-cadenas;Django sin Cadenas;2012;2h45m;83;+16;violencia extrema;Acompañado por un cazarrecompensas, el esclavo libre Django recorre EE.UU. para rescatar a su esposa de un cruel terrateniente.;Jamie Foxx, Leonardo DiCaprio, Christoph Waltz;Drama, Western, Temas raciales;Violentos;images/ModeloPages/filmes_pages/djangolivre.jpeg;images/MoviesPage/img_filmes/django_livre.jpg
grandulones;Grandulones;2010;1h42m;71;+12;drogas ilícitas y lenguaje inapropiado;Tras la muerte de su entrenador de baloncesto, cinco amigos de la infancia se reencuentran en la casa del lago y redescubren las alegrías de ser niños.;Adam Sandler, Kevin James, Chris Rock;Comedia;Buen humor, Travesuras;images/ModeloPages/filmes_pages/GenteGrande.png;images/MoviesPage/img_filmes/gente_grande.jpg
el-sorprendente-hombre-arana;El Sorprendente Hombre Araña;2012;2h16m;69;+10;violencia;Andrew Garfield da vida a Peter Parker, un adolescente que entre el descubrimiento de secretos familiares y nuevos poderes enfrenta a un conocido archienemigo.;Andrew Garfield, Emma Stone, Rhys Ifans;Ciencia ficción, Acción y aventura;Ingenioso, Emocionante;images/ModeloPages/filmes_pages/HomemAranha.jpeg;images/MoviesPage/img_filmes/o_espetacular_homem-aranha.jpg
los-juegos-del-hambre;Los Juegos del Hambre;2012;2h22m;78;+14;violencia y drogas ilícitas;En un futuro totalitario, Katniss y Peeta representan a su distrito en un reality show donde adolescentes se cazan entre sí hasta la muerte.;Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth;Ciencia ficción, Drama, Basada en libros;Emociones encontradas;images/ModeloPages/filmes_pages/JogosVorazes.jpeg;images/MoviesPage/img_filmes/jogos_vorazes.jpg
prisioneros;Prisioneros;2013;2h33m;81;+16;violencia;Tras el secuestro de su hija de seis años, Keller Dover desafía a la policía y al detective a cargo del caso para hacer justicia por sus propias manos.;Hugh Jackman, Jake Gyllenhaal, Viola Davis;Drama, Suspenso, Misterio;Siniestros, Psicológico, Suspenso en el aire;images/ModeloPages/filmes_pages/OsSuspeitos.jpeg;images/MoviesPage/img_filmes/os_suspeitos.jpg
power-rangers;Power Rangers;2017;2h04m;85;+10;violencia;Cinco adolescentes son elegidos por un mago intergaláctico para convertirse en los Power Rangers y deben usar sus poderes para enfrentar a la malvada Rita Repulsa.;Dacre Montgomery, Bill Hader, David Denman;Ciencia ficción, Acción y aventura;Emocionante;images/ModeloPages/filmes_pages/PowerRangers.jpeg;images/MoviesPage/img_filmes/power_rangers.jpg
superbad;Superbad;2007;1h53m;70;+16;contenido sexual, drogas y lenguaje inapropiado;Dos amigos intentan conseguir alcohol para triunfar en una fiesta, pero terminan envueltos en todo tipo de aventuras disparatadas.;Jonah Hill, Michael Cera, Christopher Mintz-Plasse;Comedia, Comedia adolescente;Picantes, Irreverentes, Travesuras;images/ModeloPages/filmes_pages/Superbad.jpeg;images/MoviesPage/img_filmes/superbad_e_hoje.jpg
tropa-de-elite;Tropa de Élite;2007;1h55m;83;+16;violencia, drogas y lenguaje inapropiado;Un capitán de policía de Río de Janeiro, agotado y a punto de retirarse, busca desesperadamente a alguien que lo reemplace al frente de una peligrosa misión.;Wagner Moura, André Ramiro, Caio Junqueira;Drama brasileño, Drama;Adrenalina pura, Violentos;images/ModeloPages/filmes_pages/TropaDeElite.jpeg;images/MoviesPage/img_filmes/tropa_de_elite.jpg
ahora-me-ves;Ahora me ves;2013;1h55m;57;+12;violencia;Un grupo de ilusionistas se especializa en robar bancos durante sus shows y repartir el dinero al público, mientras agentes del FBI los persiguen.;Jesse Eisenberg, Mark Ruffalo, Woody Harrelson;Suspenso, Misterio, Policíaco;Suspenso en el aire, Emocionante;images/ModeloPages/filmes_pages/TruqueDeMestre.jpeg;images/MoviesPage/img_filmes/truque_de_mestre.jpg
rapido-y-furioso-tokio;Rápido y Furioso: Reto en Tokio;2006;1h44m;61;+12;violencia y drogas;Enviado a Tokio tras ser arrestado por carreras ilegales, un adolescente americano descubre un nuevo estilo de manejo y desafía a un peligroso rival.;Lucas Black, Sung Kang, Bow Wow;Acción y aventura;Emocionante;images/ModeloPages/filmes_pages/velozes_e_furiosos_desafio_em_toquio.jpg;images/MoviesPage/img_filmes/velozes_e_furiosos_desafio_em_toquio.jpg
