id;titulo;año;episodios;relevancia;clasificacion;advertencia;descripcion;elenco;generos;escenas;imagen_banner;imagen_thumb;creador
el-ultimo-maestro-del-aire;El Último Maestro del Aire;2024;8 episodios;99;+12;violencia;Un joven maestro del aire debe dominar los cuatro elementos y enfrentarse a la Nación del Fuego para traer la paz al mundo.;Gordon Cormier, Kiawentiio, Ian Ousley;Familiar, Épica, Acción y aventura;Épico, Emocionante;images/ModeloPages/series_pages/O_ULTIMO_MESTRE_DO_AR.svg;images/SeriesPage/ultimo mestre do ar.jpg;Albert Kim
one-punch-man;One Punch Man;2019;2 temporadas;84;+14;violencia;Un superhéroe que puede vencer a cualquier enemigo de un solo golpe lidia con el tedio extremo de ser demasiado poderoso.;Makoto Furukawa, Kaito Ishikawa, Yuki Kaji;Anime de acción, Series japonesas, Anime;Violento, Épico;images/ModeloPages/series_pages/ONE_PUCH_MAN.svg;images/SeriesPage/one punch man.webp;ONE
gossip-girl;Gossip Girl;2012;6 temporadas;81;+16;violencia, contenido sexual y drogas ilícitas;Un grupo de alumnos de una escuela de élite en Manhattan parece salirse siempre con la suya, excepto ante una blogger anónima que sigue cada uno de sus pasos.;Blake Lively, Leighton Meester, Penn Badgley;Series dramáticas, Basada en libros, Series teen;Escandalosos;images/ModeloPages/series_pages/GOSSIPGIRL.svg;images/SeriesPage/gossipgirl.webp;Josh Schwartz y Stephanie Savage
suits;Suits;2019;9 temporadas;93;+16;violencia, contenido sexual y drogas;Sin título universitario ni licencia para ejercer, un joven brillante consigue trabajo en uno de los mejores bufetes de abogados de Nueva York.;Gabriel Macht, Patrick J. Adams, Sarah Rafferty;Series dramáticas, Series de tribunal, Comedia;Ingenioso, Dramático;images/ModeloPages/series_pages/SUITS.svg;images/SeriesPage/suits.webp;Aaron Korsh
lucifer;Lucifer;2021;6 temporadas;90;+14;drogas ilícitas;Aburrido de reinar en el infierno, el diablo se muda a Los Ángeles donde abre un club nocturno y colabora con el LAPD para resolver crímenes.;Tom Ellis, Lauren German, Kevin Alejandro;Series dramáticas, Series policiales, Series de EE.UU.;Sobrenatural, Encantador;images/ModeloPages/series_pages/LUCIFER.svg;images/SeriesPage/lucifer.jpg;Tom Kapinos
breaking-bad;Breaking Bad;2013;5 temporadas;94;+16;violencia, contenido sexual y drogas;Al enterarse de que tiene cáncer, un profesor de química comienza a fabricar metanfetamina para asegurar el futuro de su familia, cambiando el destino de todos.;Bryan Cranston, Aaron Paul, Anna Gunn;Series dramáticas, Series de EE.UU., Suspenso;Violentos, Realistas, Oscuros;images/ModeloPages/series_pages/BREAKING_BAD.svg;images/SeriesPage/breaking bad.webp;Vince Gilligan
better-call-saul;Better Call Saul;2022;6 temporadas;86;+16;violencia y drogas ilícitas;Antes de convertirse en el infame Saul Goodman, el abogado de Breaking Bad era más inocente, aunque tampoco era un santo.;Bob Odenkirk, Jonathan Banks, Rhea Seehorn;Series dramáticas, Series de EE.UU.;Excéntricos, Realistas;images/ModeloPages/series_pages/BETTER_CALL.svg;images/SeriesPage/better call saul.jpg;Vince Gilligan y Peter Gould
the-flash;The Flash;2023;9 temporadas;90;+12;violencia, drogas y lenguaje inapropiado;Barry Allen, un científico forense con velocidad sobrehumana, usa sus poderes para proteger a los inocentes y enfrentar a los villanos más peligrosos.;Grant Gustin, Candice Patton, Danielle Panabaker;Ciencia ficción, Acción y aventura, Series de EE.UU.;Emocionante, Heroico;images/ModeloPages/series_pages/FLASH.svg;images/SeriesPage/flash.webp;Greg Berlanti y Andrew Kreisberg
the-walking-dead;The Walking Dead;2022;11 temporadas;88;+16;violencia extrema y contenido perturbador;En un mundo postapocalíptico plagado de muertos vivientes, un grupo de sobrevivientes lucha por mantenerse con vida y conservar su humanidad.;Andrew Lincoln, Steven Yeun, Norman Reedus;Drama, Acción y aventura, Terror, Basada en cómic;Violentos, Intensos;images/ModeloPages/series_pages/THE_WALKING_DEAD.svg;images/SeriesPage/the walking dead.webp;Frank Darabont
solo-un-show;Solo un show;2014;3 temporadas;85;+12;violencia;Una excéntrica animación que sigue las aventuras de un arrendajo azul y un mapache que trabajan como jardineros para una máquina de chicles gigante.;J.G. Quintel, William Salyers, Sam Marin;Familiar, Comedia para TV, Series de EE.UU.;Absurdo, Ingenioso, Irreverente;images/ModeloPages/series_pages/APENAS_UM_SHOW.svg;images/SeriesPage/apenas um show.webp;J.G. Quintel
la-casa-de-papel;La Casa de Papel;2021;5 partes;90;+16;violencia, lenguaje inapropiado y temas sensibles;Ocho ladrones se encierran con rehenes en la Casa de la Moneda de España. Su líder manipula a la policía para ejecutar el mayor robo de la historia.;Úrsula Corberó, Álvaro Morte, Itziar Ituño;Española, Policiaca, Suspenso;Violentos, Tensos, Temas sensibles;images/ModeloPages/series_pages/LA_CASA_DE_PAPEL.svg;images/SeriesPage/la casa de papel.jpg;Álex Pina
tu;Tú;2023;4 temporadas;85;+18;violencia, contenido sexual y drogas;Un librero inteligente y obsesivo utiliza sus habilidades como voyeur y se enamora de forma peligrosa de las mujeres que cruzan su camino.;Penn Badgley, Victoria Pedretti, Elizabeth Lail;Series dramáticas, Basada en libros, Suspenso;Oscuro, Perturbador;images/ModeloPages/series_pages/VOCE.svg;images/SeriesPage/voce.jpg;Greg Berlanti y Sera Gamble
